title,link
DedeBIZ.action_search.XSS,https://www.fortiguard.com/encyclopedia/ips/56876
WordPress.Plugin.LubusWPQueryConsole.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56872
WordPress.Plugin.WuxBlogEditor.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/56873
ABB.Cylon.ASPECT.caldavUtil.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56703
ABUS.TVIP.Cameras.Admin.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56723
TRENDnet.TEW-820AP.formDnsv6.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56861
Tenda.G3.setDebugCfg.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56871
Navidrome.API.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56866
D-Link.Devices.account_mgr.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56857
EnGenius.Devices.CGI.Admin.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56856
DCN.DCME-320.ip_inter.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56854
Linksys.EA7500.UPnP.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56849
Liferay.Portal.CVE-2019-16891.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/56841
Liferay.Portal.CVE-2021-33990.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/56831
Tenda.AX1803.AdvSetLanip.lanIp.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56225
Acronis.Cyber.Infrastructure.Default.Password.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/56823
CyberPanel.getresetstatus.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56818
CyberPanel.upgrademysqlstatus.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56828
Ivanti.Avalanche.SecureFilter.doFilter.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56822
PTZOptics.PT30X.param.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56827
SOPlanning.upload.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57108
TOTOLINK.EX1200L.setDefResponse.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57107
Tenda.FH1206.GstDhcpSetSer.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57102
Tenda.AC10U.add_white_node.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57090
Tenda.FH1206.fromSafe.Go.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57098
Tenda.FH1206.qossetting.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57097
anji-plus.AJ-Report.swagger-ui.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57093
EyesOfNetwork.EONAPI.KEY.Hard.Coded.Credentials,https://www.fortiguard.com/encyclopedia/ips/57089
Apache.Tomcat.CVE-2024-50379.Race.Condition,https://www.fortiguard.com/encyclopedia/ips/57078
FortiOS.NodeJS.Websocket.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57082
WordPress.WP.File.Upload.wfu_file_downloader.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57080
TP-Link.Devices.deviceInfoRegister.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57067
TP-Link.Routers.bindRequestHandle.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57069
TP-Link.Routers.upgradeInfoJsonToBin.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57068
Teltonika.RUT9XX.Routers.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57061
Oracle.WebLogic.CVE-2024-21181.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/57044
ABB.Cylon.ASPECT.calendarUpdate.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57045
ABB.Cylon.ASPECT.clearProjectConfiguration.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57046
WordPress.Plugin.GutenKit.Install.Active.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/57053
Craft.CMS.TemplatesPath.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57031
SAP.NetWeaver.Visual.Composer.Unauthenticated.File.Upload.RCE,https://www.fortiguard.com/encyclopedia/ips/57904
Commvault.Command.Center.deployWebpackage.do.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57882
Dell.EMC.iDRAC.CGI.injection.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57877
Nagvis.getHoverUrl.Arbitrary.File.Read,https://www.fortiguard.com/encyclopedia/ips/57869
GestioIP.upload.cgi.Remote.Command.Execution,https://www.fortiguard.com/encyclopedia/ips/57848
OpenRefine.JDBC.URL.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57842
PrestaShop.ndk_steppingpack.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57843
N/A,https://www.fortiguard.com/encyclopedia/ips/57846
N/A,https://www.fortiguard.com/encyclopedia/ips/57860
Erlang.OTP.SSH.Server.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57832
RosarioSIS.PortalPollsNotes.fnc.php.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57811
DocsGPT.remote.api.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57794
Langflow.validate_code.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57790
Typecho.CVE-2024-35540.XSS,https://www.fortiguard.com/encyclopedia/ips/57799
XWiki.SolrSearch.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/57782
pgAdmin.CVE-2025-2945.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57757
Apache.Parquet.Avro.Deserialization.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57743
Edimax.BR-6478AC.formLtefotaUpgradeQuectel.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57722
Ivanti.Connect.Secure.CVE-2025-22457.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57701
Kubernetes.Ingress.NGINX.Controller.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57679
Ruby.SAML.Library.Parser.Differentials.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57640
CrushFTP.AWS.Header.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57653
Deep.Java.Library.ZipUtils.TarUtils.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57663
XWiki.Admin.Tools.Application.RunShellCommand.CSRF,https://www.fortiguard.com/encyclopedia/ips/57665
Apache.Tomcat.Time.of.Check.Time.of.Use.Race.Condition,https://www.fortiguard.com/encyclopedia/ips/57622
NETGEAR.DC112A.usb_adv.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57630
D-Link.DAP-1620.mod_graph_auth_uri_handler.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57575
Vercel.Next.js.x-middleware-subrequest.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57569
Apache.Tomcat.CVE-2025-24813.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57559
DataEase.TokenFilter.CVE-2024-56511.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57563
GitHub.Actions.Supply.Chain.Attack,https://www.fortiguard.com/encyclopedia/ips/57565
CasaOS-UserService.Login.Brute.Force,https://www.fortiguard.com/encyclopedia/ips/57543
CyberPanel.completePath.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57546
Koha.GetLateOrMissingIssues.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57550
Edimax.Network.Camera.Param.CGI.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57537
WordPress.HUSKY.woof_text_search.Local.File.Inclusion,https://www.fortiguard.com/encyclopedia/ips/57535
Camaleon.CMS.updated_ajax.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/57532
Mozilla.Firefox.XSLT.Processing.CVE-2025-1009.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/57521
Mattermost.Boards.blocks.Arbitrary.File.Read,https://www.fortiguard.com/encyclopedia/ips/57499
Advantive.VeraCore.CVE-2024-57968.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/57485
MS.Windows.CVE-2024-9157.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57354
MS.Windows.RDP.CVE-2025-24035.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57351
SonicWall.SMA1000.Management.Console.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57440
Logsign.Unified.SecOps.verify_mfa_user.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57412
F-logic.DataCube3.CVE-2024-25833.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57374
Google.Chrome.V8.CVE-2024-7971.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/57384
WordPress.Plugin.Email.Subscribers.hash.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57372
WordPress.Plugin.WP-Recall.Add-ons.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57368
Zimbra.Collaboration.autoSaveDraft.XSS,https://www.fortiguard.com/encyclopedia/ips/57359
CSZ-CMS.User-Agent.Header.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55688
CentOS.Web.Panel.ajax_dashboard.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55832
CuppaCMS.alertLightbox.php.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55880
SUPCON.SimField.reportupload.aspx.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/55864
Ivanti.EPM.GetHashForSingleFile.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57327
Ivanti.EPM.GetHashForWildcard.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57326
WordPress.Plugin.Icegram.Express.hash.Parameter.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57330
TOTOLINK.T8.IP.MQTT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57310
TOTOLINK.T8.meshSlaveUpdate.MQTT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57312
TOTOLINK.T8.recvSlaveUpgstatus.MQTT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57319
TOTOLINK.T8.setTelnetCfg.Hardcoded.Credential,https://www.fortiguard.com/encyclopedia/ips/57318
TOTOLINK.T8.updateWifiInfo.MQTT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57322
TOTOLINK.T8.version.MQTT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57315
Tenda.AC23.formGetSysToolDDNS.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57314
Wazuh.server.unhandled_exc.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57321
HuangDou.UTCMS.V9.OS.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57301
ABB.Cylon.FLXeon.CVE-2024-48841.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57299
SpagoBI.groovy.SCRIPT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57292
JeecgBoot.CVE-2023-34659.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57287
Schneider.Electric.Andover.Continuum.Web.Client.AcDev.XXE,https://www.fortiguard.com/encyclopedia/ips/57284
vBulletin.getIndexableContent.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57277
TOTOLINK.T8.serverIp.MQTT.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57271
Apache.OFBiz.CVE-2024-45195.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57263
PRTG.Network.Monitor.addusers.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57265
D-Link.DAR-7000.editrole.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57257
D-Link.DAR-7000.workidajax.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/57256
ABB.Cylon.ASPECT.bbmdUpdate.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57109
N/A,https://www.fortiguard.com/encyclopedia/ips/57005
ABB.Cylon.ASPECT.syslogUpdate.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57027
ABB.Cylon.ASPECT.webServerUpdate.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/57114
D-Link.DIR-816.A2.form2IPQoSTcDel.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56974
Mitel.SIP.Phones.CVE-2024-41710.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57248
Wago.Devices.Legal.Info.Plugin.Licenses.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56264
Wavlink.WN579X3.adm.cgi.pingIp.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57209
D-Link.DIR-825.apc_client_pin.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57238
